[Thu Sep 24 13:55:56.776 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 13:55:56.880 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 13:56:15.755 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 13:57:57.651 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 13:57:57.809 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 13:58:12.499 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:05:52.054 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:05:52.209 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:06:06.538 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:07:29.314 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:07:29.475 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:07:50.728 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:12:16.386 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:12:16.550 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:12:33.883 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:30:23.080 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:30:23.146 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:30:40.883 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:31:52.872 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:31:52.928 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:32:11.793 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:44:33.311 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:44:33.434 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:44:47.970 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:49:51.640 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:49:51.802 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:50:06.302 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:56:19.465 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:56:19.530 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:56:34.388 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:59:39.625 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:59:39.790 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 14:59:54.767 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 15:02:49.083 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 15:02:49.418 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 15:03:03.160 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 15:07:03.145 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 15:07:03.244 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 15:07:16.208 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 15:29:17.190 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 15:29:17.604 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 15:29:31.642 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 15:46:08.508 2009] 0.000 sec [scan/2/rel 1 (0,20)] [user_core] 
[Thu Sep 24 15:54:03.079 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 15:54:03.243 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 15:54:14.327 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:04:37.169 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:04:37.214 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:04:53.795 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:13:38.836 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:13:38.932 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:13:50.713 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:18:48.273 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:18:48.369 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:19:00.641 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:31:00.137 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:31:00.307 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:31:14.023 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:33:50.838 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:33:50.931 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:34:04.030 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:36:14.843 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:36:14.934 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:36:27.649 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
